set,s11a,s22a,s33a,s11m,s22m,s33m,t12a,t13a,t23a,t12m,t13m,t23m,fi11,fi22,fi33,fi12,fi13,fi23,Rm,Re,f-1,f0,b-1,b0,rb-1,t-1,t0
Native,498.8814381,0,0,0,0,0,166.2938127,0,0,0,0,0,0,0,0,0,0,0,1100,980,488.2321628,617.2125245,0,0,0,403.8403931,625.6107654
Native,449.5951629,0,0,0,0,0,259.5738882,0,0,0,0,0,0,0,0,0,0,0,1100,980,488.2321628,617.2125245,0,0,0,403.8403931,625.6107654
Native,279.6949946,0,0,0,0,0,279.6949946,0,0,0,0,0,0,0,0,0,0,0,1100,980,488.2321628,617.2125245,0,0,0,403.8403931,625.6107654
Native,481.6415974,0,0,0,0,0,278.0759058,0,0,0,0,0,0,0,0,90,0,0,1100,980,488.2321628,617.2125245,0,0,0,403.8403931,625.6107654
Native,282.5483056,0,0,245.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706.1,539,342.0913039,540.5233146,0,0,0,230.0213501,430.3181727
Native,209.690596,0,0,451.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706.1,539,342.0913039,540.5233146,0,0,0,230.0213501,430.3181727
Native,333.4531799,0,0,0,0,0,0,0,0,156.9,0,0,0,0,0,0,0,0,706.1,539,342.0913039,540.5233146,0,0,0,230.0213501,430.3181727
Native,331.627053,0,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0,706.1,539,342.0913039,540.5233146,0,0,0,230.0213501,430.3181727
Native,262.7660823,0,0,262.7660823,0,0,0,0,0,171.6,0,0,0,0,0,0,0,0,706.1,539,342.0913039,540.5233146,0,0,0,230.0213501,430.3181727
Native,0,0,0,-549.2,0,0,281.9029506,0,0,0,0,0,0,0,0,0,0,0,706.1,539,342.0913039,540.5233146,0,0,0,230.0213501,430.3181727
Native,0,0,0,-274.6,0,0,259.8602736,0,0,0,0,0,0,0,0,0,0,0,706.1,539,342.0913039,540.5233146,0,0,0,230.0213501,430.3181727
Native,0,0,0,294.2,0,0,186.6485082,0,0,0,0,0,0,0,0,0,0,0,706.1,539,342.0913039,540.5233146,0,0,0,230.0213501,430.3181727
Native,0,0,0,441.3,0,0,163.4950278,0,0,0,0,0,0,0,0,0,0,0,706.1,539,342.0913039,540.5233146,0,0,0,230.0213501,430.3181727
Native,0,0,0,588.4,0,0,155.2552062,0,0,0,0,0,0,0,0,0,0,0,706.1,539,342.0913039,540.5233146,0,0,0,230.0213501,430.3181727
Native,363.7564741,0,0,313.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,902.2,706,430.6795598,683.6828586,0,0,0,318.6489236,574.1747452
Native,309.3177681,0,0,490.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,902.2,706,430.6795598,683.6828586,0,0,0,318.6489236,574.1747452
Native,413.6085219,0,0,0,0,0,0,0,0,107.9,0,0,0,0,0,0,0,0,902.2,706,430.6795598,683.6828586,0,0,0,318.6489236,574.1747452
Native,389.1132679,0,0,0,0,0,0,0,0,215.7,0,0,0,0,0,0,0,0,902.2,706,430.6795598,683.6828586,0,0,0,318.6489236,574.1747452
Native,379.9396284,0,0,0,0,0,0,0,0,323.6,0,0,0,0,0,0,0,0,902.2,706,430.6795598,683.6828586,0,0,0,318.6489236,574.1747452
Native,363.3969137,0,0,0,0,0,0,0,0,431.5,0,0,0,0,0,0,0,0,902.2,706,430.6795598,683.6828586,0,0,0,318.6489236,574.1747452
Native,353.1516039,0,0,0,0,0,0,0,0,647.2,0,0,0,0,0,0,0,0,902.2,706,430.6795598,683.6828586,0,0,0,318.6489236,574.1747452
Native,336.3902746,0,0,336.3902746,0,0,0,0,0,196.1,0,0,0,0,0,0,0,0,902.2,706,430.6795598,683.6828586,0,0,0,318.6489236,574.1747452
Native,306.071718,0,0,306.071718,0,0,0,0,0,490.3,0,0,0,0,0,0,0,0,902.2,706,430.6795598,683.6828586,0,0,0,318.6489236,574.1747452
Native,0,0,0,0,0,0,287.0873726,0,0,287.0873726,0,0,0,0,0,0,0,0,902.2,706,430.6795598,683.6828586,0,0,0,318.6489236,574.1747452
Native,0,0,0,-549.2,0,0,398.1531108,0,0,0,0,0,0,0,0,0,0,0,902.2,706,430.6795598,683.6828586,0,0,0,318.6489236,574.1747452
Native,0,0,0,-181.4,0,0,325.4747518,0,0,0,0,0,0,0,0,0,0,0,902.2,706,430.6795598,683.6828586,0,0,0,318.6489236,574.1747452
Native,0,0,0,181.4,0,0,319.9007785,0,0,0,0,0,0,0,0,0,0,0,902.2,706,430.6795598,683.6828586,0,0,0,318.6489236,574.1747452
Native,0,0,0,353,0,0,297.8505822,0,0,0,0,0,0,0,0,0,0,0,902.2,706,430.6795598,683.6828586,0,0,0,318.6489236,574.1747452
Native,0,0,0,509.9,0,0,257.5517793,0,0,0,0,0,0,0,0,0,0,0,902.2,706,430.6795598,683.6828586,0,0,0,318.6489236,574.1747452
Native,0,0,0,696.3,0,0,210.9412211,0,0,0,0,0,0,0,0,0,0,0,902.2,706,430.6795598,683.6828586,0,0,0,318.6489236,574.1747452
Native,341.8414293,0,0,341.8414293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,902.2,706,430.6795598,683.6828586,0,0,0,318.6489236,574.1747452
Native,212,0,0,0,0,0,127.2,0,0,0,0,0,0,0,0,0,0,0,750,416,394.9075841,590.3273054,276,0,0,228,390.0890762
Native,230,0,0,0,0,0,138,0,0,0,0,0,0,0,0,90,0,0,750,416,394.9075841,590.3273054,276,0,0,228,390.0890762
Native,503,0,0,614.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2467,2115,866,1060,0,0,0,541,821.5759312
Native,437,0,0,1019.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2467,2115,866,1060,0,0,0,541,821.5759312
Native,417,0,0,1251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2467,2115,866,1060,0,0,0,541,821.5759312
Native,372,0,0,1488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2467,2115,866,1060,0,0,0,541,821.5759312
Native,734,0,0,0,0,0,367,0,0,0,0,0,0,0,0,0,0,0,2467,2115,866,1060,0,0,0,541,821.5759312
Native,607,0,0,0,0,0,303.5,0,0,0,0,0,0,0,0,90,0,0,2467,2115,866,1060,0,0,0,541,821.5759312
